version,resolution,dilatation_mean,dilatation_max,erosion_mean,erosion_max,opening_mean,opening_max,closing_mean,closing_max
naive,1280x720,"42,4","49,54","41,92","51,78","38,63","52,37","36,48","51,16"
optimized,1280x720,"45,54","55,47","45,74","55,45","41,21","56,07","39,48","54,55"
naive,1920x1080,"43,31","53,62","35,79","52,62","33,06","41,78","36,61","51,85"
optimized,1920x1080,"48,63","59,28","39,51","56,46","39,65","46,43","40,93","53,92"
naive,2560x1440,"44,35","55,56","36,94","55,19","32,48","35,94","32,53","35,04"
optimized,2560x1440,"49,51","60,38","41,27","64,19","38,71","40,38","39,35","39,79"
naive,3840x2160,"43,22","60,16","34,52","37,31","35,73","43,41","33,84","34,93"
optimized,3840x2160,"48,07","69,54","41,37","42,87","43,64","51,35","49,34","44,05"
naive,7680x4320,"36,88","38,13","34,88","36,19","35,48","37,31","35,67","36,76"
optimized,7680x4320,"40,62","44,87","39,54","45,51","44,69","42,72","44,65","43,24"
